[]
[]
[]
[['London'], ['adjective'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['is'], ['adverb'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['the'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['capital'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['and'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['most'], ['adjective'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['populous'], ['preposition'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['city'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['of'], ['adverb'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['England'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['and'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['the'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['United'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['Kingdom'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['be'], ['adjective'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['capitals'], ['adverb'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[["'n'"], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['many'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['cities'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[["'n'"], ['adjective'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
